FID,DHSID,DHSCLUST,LAT,LONG,ITN_Covera
36,KE201400000129,129,-0.668495,37.339581,0.576372155
37,KE201400000130,130,-0.68368,37.342893,0.576372155
38,KE201400000131,131,-0.679813,37.354889,0.576372155
39,KE201400000132,132,-0.684659,37.368223,0.576372155
40,KE201400000133,133,-0.628707,37.419753,0.584771316
41,KE201400000134,134,-0.670534,37.420061,0.585904695
42,KE201400000135,135,-0.604137,37.377369,0.575297965
43,KE201400000136,136,-0.47321,37.222938,0.498356742
44,KE201400000137,137,-0.437039,37.218181,0.500810969
45,KE201400000138,138,-0.521256,37.273601,0.530312025
46,KE201400000139,139,-0.483921,37.286375,0.536612585
47,KE201400000140,140,-0.487278,37.270725,0.536612585
48,KE201400000141,141,-0.50983,37.31729,0.546298644
49,KE201400000142,142,-0.467017,37.249558,0.498356742
50,KE201400000143,143,-0.524228,37.261115,0.537759057
51,KE201400000144,144,-0.448302,37.314849,0.544757551
52,KE201400000145,145,-0.513463,37.239898,0.518475015
53,KE201400000146,146,-0.454555,37.177579,0.482856233
54,KE201400000147,147,-0.59862,37.262377,0.535980352
55,KE201400000148,148,-0.574861,37.266165,0.537606343
56,KE201400000149,149,-0.641981,37.21268,0.530091345
57,KE201400000150,150,-0.681942,37.213589,0.552587998
58,KE201400000151,151,-0.515017,37.365542,0.562837527
59,KE201400000152,152,-0.50074,37.3792,0.56290461
60,KE201400000153,153,-0.516444,37.356927,0.559605638
61,KE201400000154,154,-0.411252,37.371355,0.555169475
62,KE201400000155,155,-0.436144,37.341643,0.550600677
63,KE201400000156,156,-0.44383,37.329179,0.550600677
64,KE201400000157,157,-0.471742,37.390082,0.559606971
65,KE201400000158,158,-0.733715,37.143516,0.504986821
66,KE201400000159,159,-0.730281,37.164135,0.504986821
67,KE201400000160,160,-0.710653,37.17209,0.538389591
68,KE201400000161,161,-0.648903,37.08002,0.466840237
69,KE201400000162,162,-0.680842,37.169294,0.515790905
70,KE201400000163,163,-0.794721,37.105286,0.49435281
71,KE201400000164,164,-0.746186,36.939081,0.427438296
72,KE201400000165,165,-0.733436,37.043008,0.456606481
73,KE201400000166,166,-0.68359,36.990416,0.434227437
74,KE201400000167,167,-0.668986,36.856277,0.404290313
75,KE201400000168,168,-0.68027,36.955927,0.419064702
76,KE201400000169,169,-0.65804,37.012108,0.435836954
77,KE201400000170,170,-0.589473,36.99055,0.416884072
78,KE201400000171,171,-0.624405,36.97886,0.420601962
79,KE201400000172,172,-0.895614,37.0078,0.470706465
80,KE201400000173,173,-0.905528,37.068519,0.495726692
81,KE201400000174,174,-0.944098,37.036829,0.485298657
82,KE201400000175,175,-0.859981,37.076587,0.488578413
83,KE201400000176,176,-0.826304,36.882033,0.428567957
84,KE201400000177,177,-0.838574,36.908361,0.425900773
85,KE201400000178,178,-0.82598,37.202827,0.553177676
86,KE201400000179,179,-0.842579,37.217941,0.569468877
87,KE201400000180,180,-0.892736,37.225612,0.566400938
88,KE201400000181,181,-0.921137,37.114661,0.493495455
89,KE201400000182,182,-0.961509,37.322731,0.569909808
90,KE201400000183,183,-0.794966,36.906636,0.426778373
91,KE201400000184,184,-0.761084,36.933367,0.425670285
92,KE201400000185,185,-0.800689,37.018838,0.454457516
93,KE201400000186,186,-0.837748,37.099044,0.491395845
94,KE201400000187,187,-0.801401,37.108933,0.491272998
